"rider_type","end_station_name","number_of_rides"
"casual","Sheridan Rd & Buena Ave",3003
"casual","Lake Park Ave & 53rd St",2994
"casual","Western Ave & Leland Ave",2989
"casual","LaSalle St & Jackson Blvd",2984
"casual","Lincoln Ave & Roscoe St*",2978
"casual","Dearborn St & Adams St",2970
"casual","Sangamon St & Washington Blvd",2970
"casual","N Green St & W Lake St",2961
"casual","Larrabee St & North Ave",2927
"casual","Cornell Ave & Hyde Park Blvd",2916
"casual","Museum of Science and Industry",2887
"casual","Broadway & Berwyn Ave",2872
"casual","Delano Ct & Roosevelt Rd",2872
"casual","Logan Blvd & Elston Ave",2861
"casual","Clarendon Ave & Leland Ave",2853
"casual","Desplaines St & Jackson Blvd",2852
"casual","Noble St & Milwaukee Ave",2846
"casual","Leavitt St & North Ave",2818
"casual","Campbell Ave & North Ave",2808
"casual","Loomis St & Lexington St",2799
"casual","Winthrop Ave & Lawrence Ave",2795
"casual","May St & Taylor St",2762
"casual","Wood St & Chicago Ave",2744
"casual","Dearborn St & Van Buren St",2743
"casual","Southport Ave & Irving Park Rd",2740
"casual","Racine Ave & 18th St",2732
"casual","Damen Ave & Thomas St (Augusta Blvd)",2716
"casual","Calumet Ave & 21st St",2696
"casual","Walsh Park",2695
"casual","Seeley Ave & Roscoe St",2674
"casual","Orleans St & Hubbard St",2663
"casual","Blue Island Ave & 18th St",2661
"casual","Humboldt Blvd & Armitage Ave",2651
"casual","Clark St & Montrose Ave",2630
"casual","LaSalle St & Washington St",2630
"casual","Spaulding Ave & Armitage Ave",2614
"casual","Aberdeen St & Monroe St",2612
"casual","Halsted St & Polk St",2612
"casual","Sheridan Rd & Lawrence Ave",2605
"casual","Chicago Ave & Sheridan Rd",2560
"casual","Damen Ave & Wellington Ave",2559
"casual","Wacker Dr & Washington St",2547
"casual","Morgan St & Lake St*",2546
"casual","Bissell St & Armitage Ave",2504
"casual","Broadway & Ridge Ave",2475
"casual","Sheridan Rd & Noyes St (NU)",2469
"casual","Morgan St & 18th St",2456
"casual","Woodlawn Ave & 55th St",2450
"casual","Leavitt St & Armitage Ave",2437
"casual","California Ave & Division St",2431
"casual","Leavitt St & Chicago Ave",2431
"casual","Morgan St & Polk St",2421
"casual","Western Ave & Division St",2412
"casual","Lincoln Ave & Belmont Ave (Temp)",2395
"casual","Ashland Ave & Grand Ave",2378
"casual","State St & Pearson St",2359
"casual","Ashland Ave & Lake St",2353
"casual","Lincoln Ave & Sunnyside Ave",2345
"casual","Ashland Ave & Wellington Ave",2309
"casual","Canal St & Taylor St",2290
"casual","Lake Park Ave & 56th St",2288
"casual","Jefferson St & Monroe St",2270
"casual","Wolcott (Ravenswood) Ave & Montrose Ave",2268
"casual","California Ave & North Ave",2263
"casual","Lincoln Ave & Belle Plaine Ave",2261
"casual","Benson Ave & Church St",2259
"casual","Leavitt St & Belmont Ave",2257
"casual","Fairbanks St & Superior St",2253
"casual","Ashland Ave & Chicago Ave",2241
"casual","California Ave & Fletcher St",2195
"casual","California Ave & Francis Pl (Temp)",2164
"casual","Ravenswood Ave & Irving Park Rd",2151
"casual","Sheridan Rd & Loyola Ave",2142
"casual","Milwaukee Ave & Rockwell St",2129
